cveID,product,version
CVE-2002-2443,Ubuntu Linux,12.04
CVE-2002-2443,Ubuntu Linux,14.04
CVE-2002-2443,Ubuntu Linux,15.04
CVE-2002-2443,Ubuntu Linux,15.1
CVE-2002-2443,Debian Linux,6
CVE-2002-2443,Debian Linux,7
CVE-2002-2443,Debian Linux,8
CVE-2002-2443,Fedora,17
CVE-2002-2443,Fedora,18
CVE-2002-2443,Fedora,19
CVE-2002-2443,Opensuse,11.4
CVE-2002-2443,Opensuse,12.2
CVE-2002-2443,Opensuse,12.3
CVE-2002-2443,Enterprise Linux Desktop,5
CVE-2002-2443,Enterprise Linux Desktop,6
CVE-2002-2443,Enterprise Linux Eus,5.9
CVE-2002-2443,Enterprise Linux Eus,6.4
CVE-2002-2443,Enterprise Linux Server,5
CVE-2002-2443,Enterprise Linux Server,6
CVE-2002-2443,Enterprise Linux Server Aus,6.4
CVE-2002-2443,Enterprise Linux Workstation,5
CVE-2002-2443,Enterprise Linux Workstation,6
CVE-2013-1415,Kerberos 5,1.11
CVE-2013-1415,Opensuse,11.4
CVE-2013-1416,Fedora,17
CVE-2013-1416,Fedora,18
CVE-2013-1416,Opensuse,11.4
CVE-2013-1416,Opensuse,12.1
CVE-2013-1416,Opensuse,12.2
CVE-2013-1416,Opensuse,12.3
CVE-2013-1416,Enterprise Linux Desktop,6
CVE-2013-1416,Enterprise Linux Eus,6.4
CVE-2013-1416,Enterprise Linux Server,6
CVE-2013-1416,Enterprise Linux Server Aus,6.4
CVE-2013-1416,Enterprise Linux Workstation,6
CVE-2014-3153,Opensuse,11.4
CVE-2014-3153,Enterprise Linux Server Aus,6.2
CVE-2014-3153,Linux Enterprise Desktop,11
CVE-2014-3153,Linux Enterprise High Availability Extension,11
CVE-2014-3153,Linux Enterprise Real Time Extension,11
CVE-2014-3153,Linux Enterprise Server,11
CVE-2014-3153,Linux Enterprise Server,11
CVE-2014-3153,Linux Enterprise Server,11
CVE-2014-3153,Linux Enterprise Server,11
CVE-2014-5353,Ubuntu Linux,10.04
CVE-2014-5353,Ubuntu Linux,12.04
CVE-2014-5353,Ubuntu Linux,14.04
CVE-2014-5353,Ubuntu Linux,14.1
CVE-2014-5353,Debian Linux,7
CVE-2014-5353,Fedora,22
CVE-2014-5353,Opensuse,13.1
CVE-2014-5353,Opensuse,13.2
CVE-2014-5353,Solaris,10
CVE-2014-5353,Solaris,11.2
CVE-2014-5353,Enterprise Linux Desktop,6
CVE-2014-5353,Enterprise Linux Eus,6.6
CVE-2014-5353,Enterprise Linux Eus,7.3
CVE-2014-5353,Enterprise Linux Eus,7.4
CVE-2014-5353,Enterprise Linux Eus,7.5
CVE-2014-5353,Enterprise Linux Eus,7.6
CVE-2014-5353,Enterprise Linux Eus,7.7
CVE-2014-5353,Enterprise Linux Server,6
CVE-2014-5353,Enterprise Linux Server,7
CVE-2014-5353,Enterprise Linux Server Aus,6.6
CVE-2014-5353,Enterprise Linux Server Aus,7.3
CVE-2014-5353,Enterprise Linux Server Aus,7.4
CVE-2014-5353,Enterprise Linux Server Aus,7.6
CVE-2014-5353,Enterprise Linux Server Aus,7.7
CVE-2014-5353,Enterprise Linux Server Tus,6.6
CVE-2014-5353,Enterprise Linux Server Tus,7.3
CVE-2014-5353,Enterprise Linux Server Tus,7.6
CVE-2014-5353,Enterprise Linux Server Tus,7.7
CVE-2014-5353,Enterprise Linux Workstation,6
CVE-2015-2696,Ubuntu Linux,12.04
CVE-2015-2696,Ubuntu Linux,14.04
CVE-2015-2696,Ubuntu Linux,15.04
CVE-2015-2696,Ubuntu Linux,15.1
CVE-2015-2696,Debian Linux,7
CVE-2015-2696,Debian Linux,8
CVE-2015-2696,Debian Linux,9
CVE-2015-2696,Leap,42.1
CVE-2015-2696,Opensuse,13.1
CVE-2015-2696,Opensuse,13.2
CVE-2015-2696,Linux Enterprise Desktop,12
CVE-2015-2696,Linux Enterprise Server,12
CVE-2015-2696,Linux Enterprise Software Development Kit,12
CVE-2015-2697,Ubuntu Linux,12.04
CVE-2015-2697,Ubuntu Linux,14.04
CVE-2015-2697,Ubuntu Linux,15.04
CVE-2015-2697,Ubuntu Linux,15.1
CVE-2015-2697,Debian Linux,7
CVE-2015-2697,Debian Linux,8
CVE-2015-2697,Debian Linux,9
CVE-2015-2697,Leap,42.1
CVE-2015-2697,Opensuse,13.1
CVE-2015-2697,Opensuse,13.2
CVE-2015-2697,Solaris,11.3
CVE-2015-2697,Linux Enterprise Desktop,12
CVE-2015-2697,Linux Enterprise Server,12
CVE-2015-2697,Linux Enterprise Software Development Kit,12
CVE-2015-8629,Debian Linux,7
CVE-2015-8629,Debian Linux,8
CVE-2015-8629,Leap,42.1
CVE-2015-8629,Opensuse,13.2
CVE-2015-8629,Linux,6
CVE-2015-8629,Linux,7
CVE-2015-8629,Solaris,10
CVE-2015-8629,Solaris,11.3
CVE-2015-8629,Enterprise Linux Desktop,6
CVE-2015-8629,Enterprise Linux Desktop,7
CVE-2015-8629,Enterprise Linux Eus,6.7
CVE-2015-8629,Enterprise Linux Eus,7.2
CVE-2015-8629,Enterprise Linux Eus,7.3
CVE-2015-8629,Enterprise Linux Eus,7.4
CVE-2015-8629,Enterprise Linux Eus,7.5
CVE-2015-8629,Enterprise Linux Eus,7.6
CVE-2015-8629,Enterprise Linux Eus,7.7
CVE-2015-8629,Enterprise Linux Server,6
CVE-2015-8629,Enterprise Linux Server,7
CVE-2015-8629,Enterprise Linux Server Aus,7.2
CVE-2015-8629,Enterprise Linux Server Aus,7.3
CVE-2015-8629,Enterprise Linux Server Aus,7.4
CVE-2015-8629,Enterprise Linux Server Aus,7.6
CVE-2015-8629,Enterprise Linux Server Aus,7.7
CVE-2015-8629,Enterprise Linux Server Tus,7.2
CVE-2015-8629,Enterprise Linux Server Tus,7.3
CVE-2015-8629,Enterprise Linux Server Tus,7.6
CVE-2015-8629,Enterprise Linux Server Tus,7.7
CVE-2015-8629,Enterprise Linux Workstation,6
CVE-2015-8629,Enterprise Linux Workstation,7
CVE-2017-14040,Debian Linux,8
CVE-2017-14040,Debian Linux,9
CVE-2017-14040,Openjpeg,2.2.0
CVE-2017-14041,Debian Linux,8
CVE-2017-14041,Debian Linux,9
CVE-2017-14041,Openjpeg,2.2.0
CVE-2017-14151,Debian Linux,8
CVE-2017-14151,Debian Linux,9
CVE-2017-14151,Openjpeg,2.2.0
CVE-2018-12458,Debian Linux,9
CVE-2018-12458,Ffmpeg,2.8
CVE-2018-12458,Ffmpeg,4
CVE-2018-14395,Debian Linux,9
CVE-2018-14395,Ffmpeg,3.2
CVE-2018-14395,Ffmpeg,4
CVE-2008-1950,Gnutls,1.0.18
CVE-2008-1950,Gnutls,1.0.19
CVE-2008-1950,Gnutls,1.0.20
CVE-2008-1950,Gnutls,1.0.21
CVE-2008-1950,Gnutls,1.0.22
CVE-2008-1950,Gnutls,1.0.23
CVE-2008-1950,Gnutls,1.0.24
CVE-2008-1950,Gnutls,1.0.25
CVE-2008-1950,Gnutls,1.1.13
CVE-2008-1950,Gnutls,1.1.14
CVE-2008-1950,Gnutls,1.1.15
CVE-2008-1950,Gnutls,1.1.16
CVE-2008-1950,Gnutls,1.1.17
CVE-2008-1950,Gnutls,1.1.18
CVE-2008-1950,Gnutls,1.1.19
CVE-2008-1950,Gnutls,1.1.20
CVE-2008-1950,Gnutls,1.1.21
CVE-2008-1950,Gnutls,1.1.22
CVE-2008-1950,Gnutls,1.1.23
CVE-2008-1950,Gnutls,1.2.0
CVE-2008-1950,Gnutls,1.2.1
CVE-2008-1950,Gnutls,1.2.2
CVE-2008-1950,Gnutls,1.2.3
CVE-2008-1950,Gnutls,1.2.4
CVE-2008-1950,Gnutls,1.2.5
CVE-2008-1950,Gnutls,1.2.6
CVE-2008-1950,Gnutls,1.2.7
CVE-2008-1950,Gnutls,1.2.8
CVE-2008-1950,Gnutls,1.2.9
CVE-2008-1950,Gnutls,1.2.10
CVE-2008-1950,Gnutls,1.2.11
CVE-2008-1950,Gnutls,1.3.0
CVE-2008-1950,Gnutls,1.3.1
CVE-2008-1950,Gnutls,1.3.2
CVE-2008-1950,Gnutls,1.3.3
CVE-2008-1950,Gnutls,1.3.4
CVE-2008-1950,Gnutls,1.3.5
CVE-2008-1950,Gnutls,1.4.0
CVE-2008-1950,Gnutls,1.4.1
CVE-2008-1950,Gnutls,1.4.2
CVE-2008-1950,Gnutls,1.4.3
CVE-2008-1950,Gnutls,1.4.4
CVE-2008-1950,Gnutls,1.4.5
CVE-2008-1950,Gnutls,1.5.0
CVE-2008-1950,Gnutls,1.5.1
CVE-2008-1950,Gnutls,1.5.2
CVE-2008-1950,Gnutls,1.5.3
CVE-2008-1950,Gnutls,1.5.4
CVE-2008-1950,Gnutls,1.5.5
CVE-2008-1950,Gnutls,1.6.0
CVE-2008-1950,Gnutls,1.6.1
CVE-2008-1950,Gnutls,1.6.2
CVE-2008-1950,Gnutls,1.6.3
CVE-2008-1950,Gnutls,1.7.0
CVE-2008-1950,Gnutls,1.7.1
CVE-2008-1950,Gnutls,1.7.2
CVE-2008-1950,Gnutls,1.7.3
CVE-2008-1950,Gnutls,1.7.4
CVE-2008-1950,Gnutls,1.7.5
CVE-2008-1950,Gnutls,1.7.6
CVE-2008-1950,Gnutls,1.7.7
CVE-2008-1950,Gnutls,1.7.8
CVE-2008-1950,Gnutls,1.7.9
CVE-2008-1950,Gnutls,1.7.10
CVE-2008-1950,Gnutls,1.7.11
CVE-2008-1950,Gnutls,1.7.12
CVE-2008-1950,Gnutls,1.7.13
CVE-2008-1950,Gnutls,1.7.14
CVE-2008-1950,Gnutls,1.7.15
CVE-2008-1950,Gnutls,1.7.16
CVE-2008-1950,Gnutls,1.7.17
CVE-2008-1950,Gnutls,1.7.18
CVE-2008-1950,Gnutls,1.7.19
CVE-2008-1950,Gnutls,2.0.0
CVE-2008-1950,Gnutls,2.0.1
CVE-2008-1950,Gnutls,2.0.2
CVE-2008-1950,Gnutls,2.0.3
CVE-2008-1950,Gnutls,2.0.4
CVE-2008-1950,Gnutls,2.1.0
CVE-2008-1950,Gnutls,2.1.1
CVE-2008-1950,Gnutls,2.1.2
CVE-2008-1950,Gnutls,2.1.3
CVE-2008-1950,Gnutls,2.1.4
