cweID,cweName,weaknessAbstraction,status,cweDescription
CWE-20,Improper Input Validation,Class,Stable,"The product receives input or data, but it does not validate or incorrectly validates that the input has the properties that are required to process the data safely and correctly."
CWE-22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),Base,Stable,"The software uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the software does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory."
CWE-59,Improper Link Resolution Before File Access ('Link Following'),Base,Draft,"The software attempts to access a file based on the filename, but it does not properly prevent that filename from identifying a link or shortcut that resolves to an unintended resource."
CWE-74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,Incomplete,"The software constructs all or part of a command, data structure, or record using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify how it is parsed or interpreted when it is sent to a downstream component."
CWE-77,Improper Neutralization of Special Elements used in a Command ('Command Injection'),Class,Draft,"The software constructs all or part of a command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended command when it is sent to a downstream component."
CWE-78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),Base,Stable,"The software constructs all or part of an OS command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended OS command when it is sent to a downstream component."
CWE-88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),Base,Draft,"The software constructs a string for a command to executed by a separate component in another control sphere, but it does not properly delimit the intended arguments, options, or switches within that command string."
CWE-89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),Base,Stable,"The software constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component."
CWE-90,Improper Neutralization of Special Elements used in an LDAP Query ('LDAP Injection'),Base,Draft,"The software constructs all or part of an LDAP query using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended LDAP query when it is sent to a downstream component."
CWE-94,Improper Control of Generation of Code ('Code Injection'),Base,Draft,"The software constructs all or part of a code segment using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the syntax or behavior of the intended code segment."
CWE-119,Improper Restriction of Operations within the Bounds of a Memory Buffer,Class,Stable,"The software performs operations on a memory buffer, but it can read from or write to a memory location that is outside of the intended boundary of the buffer."
CWE-120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),Base,Incomplete,"The program copies an input buffer to an output buffer without verifying that the size of the input buffer is less than the size of the output buffer, leading to a buffer overflow."
CWE-122,Heap-based Buffer Overflow,Variant,Draft,"A heap overflow condition is a buffer overflow, where the buffer that can be overwritten is allocated in the heap portion of memory, generally meaning that the buffer was allocated using a routine such as malloc()."
CWE-125,Out-of-bounds Read,Base,Draft,"The software reads data past the end, or before the beginning, of the intended buffer."
CWE-129,Improper Validation of Array Index,Variant,Draft,"The product uses untrusted input when calculating or using an array index, but the product does not validate or incorrectly validates the index to ensure the index references a valid position within the array."
CWE-131,Incorrect Calculation of Buffer Size,Base,Draft,"The software does not correctly calculate the size to be used when allocating a buffer, which could lead to a buffer overflow."
CWE-134,Use of Externally-Controlled Format String,Base,Draft,"The software uses a function that accepts a format string as an argument, but the format string originates from an external source."
CWE-190,Integer Overflow or Wraparound,Base,Stable,"The software performs a calculation that can produce an integer overflow or wraparound, when the logic assumes that the resulting value will always be larger than the original value. This can introduce other weaknesses when the calculation is used for resource management or execution control."
CWE-191,Integer Underflow (Wrap or Wraparound),Base,Draft,"The product subtracts one value from another, such that the result is less than the minimum allowable integer value, which produces a value that is not equal to the correct result."
CWE-193,Off-by-one Error,Base,Draft,"A product calculates or uses an incorrect maximum or minimum value that is 1 more, or 1 less, than the correct value."
CWE-200,Exposure of Sensitive Information to an Unauthorized Actor,Class,Draft,The product exposes sensitive information to an actor that is not explicitly authorized to have access to that information.
CWE-203,Observable Discrepancy,Base,Incomplete,"The product behaves differently or sends different responses under different circumstances in a way that is observable to an unauthorized actor, which exposes security-relevant information about the state of the product, such as whether a particular operation was successful or not."
CWE-209,Generation of Error Message Containing Sensitive Information,Base,Draft,"The software generates an error message that includes sensitive information about its environment, users, or associated data."
CWE-252,Unchecked Return Value,Base,Draft,"The software does not check the return value from a method or function, which can prevent it from detecting unexpected states and conditions."
CWE-267,Privilege Defined With Unsafe Actions,Base,Incomplete,"A particular privilege, role, capability, or right can be used to perform unsafe actions that were not intended, even when it is assigned to the correct entity."
CWE-269,Improper Privilege Management,Class,Draft,"The software does not properly assign, modify, track, or check privileges for an actor, creating an unintended sphere of control for that actor."
CWE-273,Improper Check for Dropped Privileges,Base,Incomplete,The software attempts to drop privileges but does not check or incorrectly checks to see if the drop succeeded.
